분류체계,,기본 식별,,,,,,,증빙 첨부,R&R,
대분류,중분류,issue_id,issue_name,issue_group,checklist_question,unit,input_format,데이터 입력,증빙 첨부,부서,담당자
ESG경영일반,기업 프로필·조직현황,G0-01,기업 기본정보,기업개요,기업명은 무엇인가?,,string,,,,
,,G0-02,,,사업장 위치는 어디인가?,,string,,,,
,,G0-03,조직 정보,,법적 형태는 무엇인가?,,string,,,,
,,G0-04,,,상장 여부는 무엇인가?,,string,,,,
,,G0-05,조직 규모,,총 종업원 수는?,,int,,,,
,,G0-06,,,사업장 수는?,,int,,,,
,사업구조·가치사슬,G0-07,사업 구조,사업구조,주요 사업은 무엇인가?,,string,,,,
,,G0-08,,,주요 upstream value chain 범위를 정의하고 있는가?,,text,,,,
,,G0-09,,,주요 downstream value chain 범위를 정의하고 있는가?,,text,,,,
,,G0-10,Value Chain,,주요 공급망 구조는?,,string,,,,
,,G0-11,,,주요 제품/서비스는?,,string,,,,
,,G0-12,,,주요 시장은?,,string,,,,
,보고범위·경계,G0-13,보고 범위,보고정보,보고 기간은 무엇인가?,,YYYY,,,,
,,G0-14,,,연결 기준은 무엇인가?,,string,,,,
,,G0-15,,,보고에 포함되는 법인·사업장 목록을 관리하는가?,,text,,,,
,,G0-16,,,보고에서 제외된 법인·사업장과 제외 사유를 관리하는가?,,text,,,,
,지배구조·감독체계,G0-17,지배구조 개요,거버넌스개요,이사회 구조는 어떻게 되는가?,,string,,,,
,,G0-18,,,이사회 및 산하 위원회 구조를 관리하는가?,,text,,,,
,,G0-19,,,ESG 감독 책임자와 보고라인이 명확한가?,,text,,,,
,,G0-20,거버넌스,,이사회 독립성 비율은?,,%,,,,
,,G0-21,,,이사회 다양성은?,,string,,,,
,전략·리스크·승인체계,G0-22,전략,전략,ESG 전략은 무엇인가?,,string,,,,
,,G0-23,,,주요 리스크는?,,string,,,,
,,G0-24,,,중요 이슈 식별·우선순위화 절차를 보유하고 있는가?,,text,,,,
,,G0-25,,,지속가능성 보고서 승인 및 내부 검토 절차가 있는가?,,text,,,,
,정책·윤리·고충체계,G0-26,윤리,정책,윤리강령 존재 여부,,Y/N,,,,
,,G0-27,,,부패방지 정책 존재 여부,,Y/N,,,,
,,G0-28,정책,,신고·고충처리 채널의 적용 범위와 운영 원칙을 정의했는가?,,text,,,,
,이해관계자 참여,G0-29,이해관계자,이해관계자,주요 이해관계자는 누구인가?,,string,,,,
,,G0-30,,,주요 이해관계자 참여 채널과 주기를 관리하는가?,,text,,,,
,재무·경제가치,G0-31,재무 및 경제가치,재무·경제가치,연결 기준 직접 경제적 가치 창출·배분 총액은 얼마인가?,KRW_bn,number,,,,
,,G0-32,,,종업원급여 총액은 얼마인가?,KRW_bn,number,,,,
,,G0-33,,,원재료비 총액은 얼마인가?,KRW_bn,number,,,,
,,G0-34,,,법인세 총액은 얼마인가?,KRW_bn,number,,,,
,,G0-35,,,기부금 총액은 얼마인가?,KRW_bn,number,,,,
,,G0-36,요약 재무제표,재무·경제가치,매출액은 얼마인가?,KRW_bn,number,,,,
,,G0-37,,,영업이익은 얼마인가?,KRW_bn,number,,,,
